sn1;sn2;nbcar;unemp;ageyngst;hhtype;sn3;sn4;dyear;ddayofwk;working_day;dml1_0;dml1_1;dml1_2;dml1_3;dml1_4;dml1_5;dml1_6;dml1_7;dml1_8;dml1_9a;dml1_9b;dml2_01;a_alone;a_wch9;a_wothh;a_wothp;a_asleep;a_noans;a_totwth;dage;dsex;dethnic;pop_den;numadult;numchild;child;num0_2;num3_4;num5_9;econact;hrs_unpd;hrs_job1;hrs_job2;hrs_tot;nssecb;nssecb_8;nssecb_5;nssecb_3;wtdry_ug;car;health;hiqual4;region;hnumb;selfemp;public;cadre;parttime;shiftwork;flexitime;nethinc;indlabinc
1;249;2;4,5;6;3;4;1;2000;5;0;610;180;0;0;0;170;90;0;270;100;20;470;170;0;620;230;650;0;1680;20;2;;2943,34;5;0;0;0;0;0;1;;23;;23;12,1;6;5;3;1,041583409;4;1;4;8;5;0;0;0;1;1;0;401,3922119;100
1;249;2;4,5;6;3;4;2;2000;6;0;420;420;0;0;0;260;0;0;90;190;60;260;20;0;340;530;680;80;1650;20;2;;2943,34;5;0;0;0;0;0;1;;23;;23;12,1;6;5;3;0,430902454;4;1;4;8;5;0;0;0;1;1;0;401,3922119;100
1;249;2;4,5;6;3;5;1;2000;5;1;840;0;0;60;0;10;0;0;470;50;10;650;40;0;730;590;650;0;2010;19;2;;2943,34;5;0;0;0;0;0;1;;9;;9;15;9;7;5;1,089468021;2;2;3;8;5;0;0;0;1;0;0;401,3922119;35
1;250;1;4,5;6;3;1;2;2000;2;4;510;0;0;540;0;210;0;0;170;0;10;410;170;0;550;320;410;0;1450;28;2;0;2943,34;2;0;0;0;0;0;1;;37;;37;7,1;3;2;2;1,53805782;2;2;3;8;2;0;0;0;0;0;0;699,3198853;345,9584351
1;250;1;4,5;6;3;2;2;2000;2;0;550;480;0;90;0;30;30;0;130;120;10;420;90;0;320;110;900;30;1450;28;1;0;2943,34;2;0;0;0;0;0;1;;64;;64;12,2;6;5;3;1,64310263;1;2;4;8;2;0;1;0;0;0;0;699,3198853;378
1;294;4;4,5;3;2;1;2;2000;7;1;730;20;0;400;20;110;0;0;90;60;10;620;0;800;240;150;640;0;1830;39;2;0;2943,34;2;2;1;0;0;2;1;;14;;14;7,2;3;2;2;0,542239109;1;2;3;8;4;0;0;0;1;0;0;558,3110352;53,11778259
1;307;2;4,5;6;3;1;1;2000;3;0;590;430;0;180;0;30;0;0;100;100;10;480;50;0;400;50;910;30;1440;50;2;0;2943,34;3;0;0;0;0;0;1;;;;;12,1;6;5;3;0,891469388;2;1;4;8;3;0;0;0;1;0;0;723,6487427;78,54177856
1;307;2;4,5;6;3;1;2;2000;6;1;550;0;0;220;0;420;0;0;60;180;10;360;0;0;1080;940;360;0;2380;50;2;0;2943,34;3;0;0;0;0;0;1;;;;;12,1;6;5;3;0,366782131;2;1;4;8;3;0;0;0;1;0;0;723,6487427;78,54177856
1;307;2;4,5;6;3;2;1;2000;3;0;550;490;0;40;0;20;0;0;200;130;10;440;260;0;40;210;930;0;1440;53;1;0;2943,34;3;0;0;0;0;0;1;;61;;61;9,1;4;3;2;0,964558875;1;2;4;8;3;1;0;0;0;0;0;723,6487427;415,7043762
1;307;2;4,5;6;3;3;1;2000;3;0;570;510;0;90;0;20;0;0;20;110;120;490;120;0;190;120;1000;10;1440;21;2;0;2943,34;3;0;0;0;0;0;1;;46;;46;7,1;3;2;2;;1;1;4;8;3;0;0;1;0;0;0;723,6487427;242
